feature,importance
Type de voie_COUR,9.79923832991353e-06
1er lot_2007,9.349070588169903e-06
1er lot_212,8.933503033443419e-06
1er lot_174,8.725042034901168e-06
1er lot_109,8.182870019595284e-06
1er lot_1060,8.127682728050762e-06
1er lot_1030,8.107279942173952e-06
1er lot_1315,7.927386104694825e-06
1er lot_270,7.769941752888786e-06
1er lot_344,7.73998277675872e-06
1er lot_10325,7.677545420045999e-06
1er lot_388,7.64108024181194e-06
1er lot_171,7.6114935568327645e-06
1er lot_466,7.472888166719995e-06
1er lot_300,6.682895689709393e-06
1er lot_64,6.588683742038588e-06
1er lot_2008,6.580640292328373e-06
1er lot_733,6.15745040541815e-06
1er lot_176,6.138928245193654e-06
1er lot_187,6.120158520063688e-06
1er lot_351,6.0894474775469155e-06
1er lot_231,5.943575074244986e-06
1er lot_4094,5.710410252363453e-06
1er lot_2033,4.697536469346328e-06
1er lot_226,4.637306470377686e-06
1er lot_262,4.447117128027378e-06
1er lot_92,4.4401829242793936e-06
1er lot_608,4.329865861780034e-06
Date mutation_19/09/2020,4.320866292143249e-06
1er lot_165,4.0937934895695594e-06
1er lot_2302,3.98924911147722e-06
1er lot_739,3.816065984130034e-06
1er lot_1129,3.4942883621476722e-06
1er lot_112,3.4462122821373566e-06
Date mutation_05/09/2020,3.4330270986297947e-06
1er lot_202,3.3494521699502476e-06
1er lot_131,3.187455132356954e-06
Type de voie_VOIE,3.134189846947051e-06
1er lot_522,3.0800117285914377e-06
1er lot_269,2.89810271247792e-06
1er lot_167,2.891474325264875e-06
1er lot_185,2.871586288146342e-06
1er lot_233,2.8581520802896804e-06
1er lot_455,2.774141918616855e-06
1er lot_524,2.7548478362679917e-06
1er lot_1593,2.7429718098991534e-06
1er lot_601,2.6461366857789734e-06
1er lot_745,2.599256781956493e-06
1er lot_1126,2.508617544069601e-06
1er lot_1846,2.4725791330049465e-06
1er lot_347,2.450733883147774e-06
1er lot_296,2.2220895572529325e-06
1er lot_177,2.0098260543910964e-06
1er lot_489,1.9969996668705444e-06
1er lot_1007,1.9852978089432855e-06
1er lot_196,1.75736924979771e-06
1er lot_570,1.6469650642548387e-06
1er lot_397,1.5587977633731522e-06
1er lot_562,1.5298246146731666e-06
1er lot_257,1.4998966042383748e-06
Date mutation_10/10/2020,1.4568312694531662e-06
1er lot_1085,1.2483024310415103e-06
1er lot_2742,1.2462570777803419e-06
1er lot_248,1.2425637417869684e-06
1er lot_1246,1.218845043308673e-06
1er lot_97,1.1447816033476176e-06
1er lot_264,1.104447113917883e-06
1er lot_1213,1.0996566019406837e-06
